Date,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
12/23/84,18:10,"Near Kranoyarsk, Russia",Aeroflot,3519,,Tupolev TU-154B-2,CCCP-85338,338,110,110,0,0,0,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.,High Fatality
1/21/85,1:04,"Reno, Nevada",Galaxy Airlines,203,"Reno, NV - Minneapolis-St. Paul, MN",Lockheed L-188A Electra,N5532,1121,71,70,0,1,0.014084507,"The aircraft crashed while returning to the airport after reporting severe vibrations. While attempting to land, the aircraft crashed into a  field, bounced and slid into mobile homes. A ground handler forgot to close an air start access door. The crew's failure to control and monitor the flight path and air speed of the aircraft after detecting the vibration.",High Fatality
2/1/85,,"Minsk, Belarus, USSR",Aeroflot,,Minsk - Leningrad,Tupolev TU-134A,CCCP-65910,63971,80,58,0,22,0.275,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.,High Fatality
2/19/85,9:27,"Near Durango, Vizcaya, Spain",Iberia Airlines,610,Madrid - Bilbao,Boeing B-727-256,EC-DDU,21777/1487,148,148,0,0,0,The aircraft crashed into an antenna on Mt. Oiz. Incorrect interpretation of Ground Proximity Warning System. The captain was heard shouting 'shut up' at the GPWS as it announced 'pull up.'  Overconfidence in altitude alert system. Incorrect interpretation of its warnings.,High Fatality
2/19/85,10:15,"300 nm NW of San Francisco, California",China Airlines (Taiwan),6,Taipei - Los Angeles,Boeing B-747-SP-09,N4522V,22805/564,274,0,0,274,1,"The aircraft descended in an uncontrolable dive, from 41,000 to 9,500 ft. after the crew shut down an engine.  The captain, preoccupied the malfunctioning engine, didn't properly monitor instruments and over relied on the autopilot and did not use his rudder to keep the plane from rolling . The autopilot disengaged after it could not handle the excessive roll caused by the shut down engine. The captain failed to make the proper flight corrections to recover the aircraft. After a terrifying series of inadvertent aerobatics, the plane leveled off at 9,500 feet and managed to land safely at San Francisco. Forces during the inverted spin were estimated to be from +6G to -4G. The landing gear was forced out through the closed doors, breaking the doors, which flew back and took out part of the rudder and elevator.",Low Fatality
5/3/85,12:00,"Near L'vov, Ukraine, USSR",Aeroflot / Soviet Air Force,,Tallin - L'vov,Tupolev TU-134A / Antonov An-26,CCCP65856/26492,23253 /,76,76,0,0,0,Midair collision as the Tupolev-134A prepared to land and the Antonov An-26 just took off.  Violations by the civil approach and military controllers. Misidentification of both aircraft. Seventy-one killed on the TU134 and twenty-three on the Antonov.,High Fatality
6/14/85,,"Athens, Greece",Trans World Airlines,847,Athens - Rome,Boeing B-727-231,N64339,20844/1065,153,1,0,152,0.993464052,The aircraft was hijacked while en route from Athens to Rome over Italian airspace. U.S. Navy diver Robert Stethem was murdered aboard.,Low Fatality
6/23/85,7:15,"AtlantiOcean, 110 miles West of Ireland",Air India,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,329,329,0,0,0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'",High Fatality
7/10/85,23:45,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,7425,Karshi - Leningrad,Tupolev TU-154B-2,CCCP-85311,311,200,200,0,0,0,The aircraft went into an uncontrolled descent from FL 400 and crashed.,High Fatality
7/24/85,17:00,"Leticia, Colombia",Fuerza Aérea Colombiana,,Leticia - Bogota,Douglas DC-6B,FAC-902,45067/709,80,80,0,0,0,"Crashed into the Amazon jungle in poor weather, after the crew reported a fire in the No. 3 engine. The last words from the aircraft was 'We're falling.'",High Fatality
8/2/85,18:06,"Ft. Worth-Dallas, Texas",Delta Air Lines,191,Fort Lauderdale - Dallas-Fort Worth,Lockheed L-1011-1 TriStar,N726DA,1163,163,134,1,29,0.17791411,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear.",High Fatality
8/12/85,18:56,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,123,Tokyo - Osaka,Boeing B-747-SR46,JA8119,20783/230,524,520,0,4,0.007633588,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident.",High Fatality
8/22/85,6:13,"Manchester, England",British Airtours,28M,Manchester - Kerkira,Boeing B-737-236,G-BGJL,22033/743,137,55,0,82,0.598540146,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxismoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft to starboard, sideways to a prevailing wind, all helped to feed the flames. The aircraft was named 'River Orrin.'",High Fatality
11/24/85,20:15,"Luqa, Malta",EgyptAir,648,Athens - Cairo,Boeing B-737-266,SU-AYH,21191/450,103,60,0,43,0.417475728,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire.",High Fatality
12/12/85,6:45,"Gander, Newfoundland, Canada",Arrow Airways,MF1285R,"Gander - Fort Campbell, KY",McDonnell Douglas DC-8 Super 63PF,N950JW,46058/433,256,256,0,0,0,"The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft.",High Fatality
1/18/86,8:00,"Near Peten, Guatemala",Aerovias de Guatemala SA,,Guatemala City - Flores,Sud-Aviation  Caravelle VI-N,HC-BAE,40,87,87,0,0,0,"After initiating an overshoot and attempting to land for a second time, the plane crashed into a hilly area in the jungle. There were low lying clouds in the area.",High Fatality
3/31/86,9:11,"Maravatio, Mexico",Mexicana,940,Mexico City - Puerto Vallarta,Boeing B-727-264,XA-MEM,22414/1748,167,167,0,0,0,"While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydrauliand electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire.",High Fatality
4/2/86,,"Near Athens, Greece",Trans World Airlines,840,Rome - Athens,Boeing B-727,N54340,20845/1066,121,4,0,117,0.966942149,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastiexplosive was left under a seat by a woman carrying a Lebanese passport.,Low Fatality
5/3/86,,"Colombo, Sri Lanka",Air Lanka,,"Colombo - Male, Maldives",Lockheed L-1011-100,4R-ULD,1061,150,22,0,128,0.853333333,Detonation of an explosive device in the rear section of the cabin while on the ground and passengers were boarding. The aircraft was named City of Colombo.,Low Fatality
7/2/86,10:27,"Near Syktyvar, Russia",Aeroflot,,,Tupolev TU-134A,CCCP-65120,60482,94,54,0,40,0.425531915,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,High Fatality
9/5/86,6:00,"Karachi, Pakistan",Pan American World Airways,73,Bombay-Karachi-Frankfurt-New York,Boeing B-747-121,N656PA,20351/127,384,16,1,368,0.958333333,"While on the ground, four hijackers opened fire on the passengers and crew and threw grenades among them, killing 16 passengers, one crew member and one ground crew memeber. The aircraft was named Clipper Empress of the Seas.",Low Fatality
10/20/86,15:50,"Kuybyshev, Russia",Aeroflot,,Yekaterinburg - Kuybyshev,Tupolev TU-134A,CCCP-65766,62327,92,70,0,22,0.239130435,The plane crashed and burst into flames after a straight-in hard landing without leveling off.,High Fatality
11/2/86,19:25,"Near Zahedan, Iran",Military - Iranian Air Force,,Bakhtaran - Zahedan,Lockheed C-130,,,103,103,0,0,0,Struck the side of a mountain near the Pakistani border. Crew error. Descent below minimum safe altitude with a defective altimeter and in spite of warnings from the ATC.,High Fatality
12/12/86,,"Berlin, East Germany",Aeroflot,,Minsk - Berlin,Tupolev TU-134A,CCCP-65795,63145,82,70,0,12,0.146341463,The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.,High Fatality
12/25/86,,"Ay, Saudi Arabia",Iraqi Airways,,Baghdad - Amman,Boeing B-737-270C,YI-AGJ,21183,106,63,0,43,0.405660377,"Hijacking.  While on a flight from Baghdad to Amman, hijackers exploded a hand grenade in the passenger cabin. While making an emergency descent a second hand grenade exploded in the cockpit causing the plane to lose control crash, break in two and catch fire.",High Fatality
5/9/87,11:12,"Warsaw, Poland",LOT Polish Airlines,5055,Warsaw - New York City,Ilyushin IL-62M,SP-LBG,3344942,183,183,0,0,0,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",High Fatality
7/24/87,,"Geneva, Switzerland",Air Afrique,56,Brazzaville - Paris,McDonnell Douglas DC-10-30,,,163,1,0,162,0.993865031,"Hijacked while en route from Rome, Italy to Paris, France. The hijacker killed one male passenger when the plane landed at Cointrin Airport in Switzerland to refuel, after which the plane was stormed by security personnel.",Low Fatality
1/18/88,22:17,"Near Chungking, Sichuan, China",China Southwest Airlines,4146,Beijing - Chongqing,Ilyushin IL-18D,B-222,187009901,108,108,0,0,0,The aircraft crashed 10 minutes before its scheduled landing. Fire in and failure of the No. 4 engine led to separation of the pylon and engine and loss of control of the aircraft. Overheating of the feathering oil. Poor maintenance procedures.,High Fatality
8/16/87,20:46,"Romulus, Michigan",Northwest Airlines,255,"Detroit, MI - Phoenix, AZ",McDonnell Douglas MD-82,N312RC,48090/1040,155,154,2,1,0.006451613,"The aircraft stalled and crashed during takeoff from Detroit Metropolitan Wayne County Airport. After liftoff, the wings of the airplane rolled to the left and right  and then the aircraft collided with obsticales northeast of the runway when the left wing struck light poles and the roof of a rental car agency. A 4-year-old girl, Cecilia Cichan, was the only survivor. Slats and flaps not extended. Crew's failure to use taxi checklist to ensure flaps and slats were extended. Lack of electrical power to the aircraft takeoff warning system. Cecelia is now married and earned a Psychology degree from the University of Alabama. Although she has made no publistatements or attended annual memorial services regarding the tragicrash, she corresponds with some of the crash victims’ loved ones.",High Fatality
8/31/87,15:36,"Off Ko Phuket, Thiland",Thai Airways,365,Hat Yai - Phuket,Boeing B-737-2P5,HS-TBC,22267/685,83,83,0,0,0,The aircraft stalled and crashed into the ocean after the crew's attention was diverted to concern over another aircraft. Failure of the crew to monitor their airspeed. The pilot added power and raised the gear after the stick shaker activated but did not execute a recovery before hitting the sea.,High Fatality
11/28/87,4:00,"Off Mauritius, Indian Ocean",South African Airways,295,"Taipei, Taiwan -  Mauritius - Johannesburg, South Africa",Boeing B-747-244B,ZS-SAS,22171/488,159,159,0,0,0,"While over the Indian Ocean the crew contacted Mauritius approach control and reporting fire and smoke aboard. Three minutes after the last transmission the plane the plunged into the ocean 150 miles northeast of Mauritius. The fire caused incapacitation and disorientation of the crew, in-flight break-up and loss of control of the aircraft.  The fire originated in a front pallet on the right side in the upper deck cargo hold. The fire of unknown origin possibly (1) incapacitated the crew; (2) caused disorientation of the crew due to thick smoke; (3) caused crew distraction; (4) weakened the aircraft structure, causing an in-flight break-up; (5) burned through control cables or ; (6) caused loss of control due to deformation of the aircraft fuselage.",High Fatality
11/29/87,11:30,Over the Andaman Sea,Korean Airlines,858,Abu Dhabi - Bangkok,Boeing B-707-3B5C,HL-7406,20522/855,115,115,0,0,0,"The plane crashed while on a flight from Abu Dhabi to Bangkok. Detonation of an explosive device in the passenger cabin left by two passengers who exited  the plane at Abu Dhabi. A 75 year old man and Korean woman were arrested as they tried to use fake passports to fly to Rome. While under guard, the man bit into a cyanide capsule and died. The woman, a North Korean agent, confessed to the crime.",High Fatality
1/18/88,4:20,"Krosnovodsk, USSR",Aeroflot,,Moscow - Krosnovodsk,Tupolev TU 154B-2,CCCP-85254,77A254,143,11,0,132,0.923076923,Broke in two after a heavy landing. Crew error. Co-pilot was flying the plane against requirements that the pilot fly the plane.,Low Fatality
3/17/88,13:17,"Near Cucuta, N of  Santander, Colombia",AVIANCA,410,Cucuta - Cartagena,Boeing B-727-21,HK-1716,18999/240,143,143,0,0,0,"The aircraft struck a mountain at 6,200 feet after taking off in mist and haze. The crew took off under VFR conditions during adverse weather conditions. Inappropriate presence of a non-crew pilot in the cockpit and his great talkativeness distracting part of the crew which resulted in carelessness and disorientation in monitoring the heading and altitude necessary to maneuver the plane. VFR flight into IFR conditions.",High Fatality
4/5/88,,"Combi, Cyprus",Kuwait Airways,,Bangkok - Kuwait,Boeing B-747-200,9K-ADA,21541,112,2,0,110,0.982142857,Hijacking. Two hostages killed on the ground.,Low Fatality
4/28/88,13:46,"Maui, Hawaii",Aloha Airlines,243,Hilo - Honolulu,Boeing B-737-297,N73711,20209,95,1,0,94,0.989473684,The aircraft suffered separation of the top of the fuselage resulting in explosive decompression and severe structural damage. A flight attendant was sucked out of the opening in the fuselage and her body never recovered. The plane made a safe emergency landing at Kahuiui Airport on Maui. Failure of Aloha Airline's maintenance program to detect the presence of disbonding and fatigue damage which led to failure of the lap joint at S-10L and the separation of the fuselage upper lobe. Contributing factors were the failure of Aloha Airline's management to properly supervise its maintenance crew as well as the failure of the FAA to properly evaluate the Aloha Airlines maintenance program and to assess the airline's inspection and quality control deficiencies. In addition the maintenance program underestimated the need for inspections with the large number of pressurizations/depressurizations and humid salt air climate the plane was subjected to.,Low Fatality
6/26/88,14:45,"Habsheim, France",Air France,296Q,Basel - Basel,Airbus A320-111,F-GFKC,9,136,3,0,133,0.977941176,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.",Low Fatality
7/3/88,10:55,"Over the Persian Gulf, near Bandar Abbas, Iran",Iran Air,655,Bandar Abbas - Dubai,Airbus A300B2-203,EP-IBU,186,290,290,0,0,0,"The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner.",High Fatality
8/31/88,9:01,"Dallas, Texas",Delta Air Lines,1141,"Dallas/Fort Worth, TX - Salt Lake City, UT",Boeing B-727-232 Adv,N473DA,20750/992,108,14,0,94,0.87037037,"The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system.",Low Fatality
9/9/88,11:38,"Bangkok, Thailand",Hang Khong (Vietnam),831,Hanoi - Bangkok,Tupolev TU-134A,VN-A102,60925,90,76,0,14,0.155555556,The aircraft crashed during approach in heavy rain and thunderstorms short of the runway. The crew descended below minimum altitude while over the outer marker. The plane lost height due to a microburst induced windshear when passing under a thunderstorm on final.,High Fatality
9/15/88,13:05,"Bahar Dar, Ethiopia",Ethiopian Airlines,604,Bahar Dar - Asmara,Boeing B-737-230,ET-AJA,23914/1456,104,35,0,69,0.663461538,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",High Fatality
10/19/88,7:00,"Near Ahmedabad, India",Indian Airlines,113,Bombay - Ahmadabad,Boeing B-737-2A8,VT-EAH,20481/271,129,124,0,5,0.03875969,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames.",High Fatality
12/11/88,,"Leninakan, Armenia, USSR",Military - Russian Air Force / Military - Russian Air Force,,,Ilyushin IL-76 / Mi-8 (helicopter),CCCP-86732,83413388,83,77,0,6,0.072289157,A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived.,High Fatality
12/21/88,19:03,"Lockerbie, Scotland",Pan American World Airways,103,London - New York City,Boeing B-747-121A,N739PA,19646/15,259,259,11,0,0,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.'",High Fatality
1/8/89,20:25,"Leicestershire, England",British Midland Airways,92,London - Belfast,Boeing B-737-4Y0,G-OBME,23867/1603,126,47,0,79,0.626984127,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.",High Fatality
2/8/89,14:08,"Santa Maria, Azores, Portugal",Independent Air Inc.,1851,Bergamo - Orio al Serio - Santa Maria,Boeing B-707-331B,N7231T,19572/687,144,144,0,0,0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was clear to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.",High Fatality
2/24/89,2:09,"Honolulu, Hawaii",United Air Lines,811,Los Angeles - Honolulu - Auckland - Sidney,Boeing B-747-122,N4713U,19875/89,356,9,0,347,0.974719101,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched foward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff.",Low Fatality
6/7/89,4:27,"Near Paramaribo, Surinam",Surinam Airways,764,Paramaribo - Zanderij,McDonnell Douglas DC-8 Super 62,N1809E,46107/498,187,176,0,11,0.058823529,The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team 'Colorful 11' from Surinam were killed.,High Fatality
6/17/89,8:28,"Berlin, Germany",Interflug,,Berlin - Moscow,Ilyushin IL-62MK,DDR-SEW,2850324,113,20,1,93,0.82300885,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.",Low Fatality
7/19/89,16:00,"Sioux City, Iowa",United Air Lines,232,"Denver, CO - Chicago, IL",McDonnell Douglas DC-10-10,N1819U,46618,298,112,0,186,0.624161074,"Catastrophifailure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage.The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulisystems. Subject of the 1992 TV-movie 'Crash Landing: The Rescue of Flight 232.'",Low Fatality
7/21/89,15:23,"Manila, Philippines",Philippine Air Lines,,Zamboanga - Manila,BAC One-Eleven 516FP,RP-C1193,231,98,1,8,97,0.989795918,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",Low Fatality
7/27/89,7:00,"Tripoli, Libya",Korean Airlines,803,Jeddah - Tripoli,McDonnell Douglas DC-10-30,HL-7328,47887/125,199,75,4,124,0.623115578,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.,Low Fatality
9/3/89,19:00,"Near Havana, Cuba",Cubana de Aviacion,,"Havana - Köln, Bonn",Ilyushin IL-62M,CU-T1281,3850453,126,126,45,0,0,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision to fly after an abrupt deterioration in weather conditions.,High Fatality
9/19/89,14:00,"Near Bilma, Niger",Union des Transportes Aeriens,772,N'Djamena - Paris,McDonnell Douglas DC-10-30,N54629,46852/125,171,171,0,0,0,"While climbing through FL 350 ft., 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamera was believed to have brought the bomb aboard.",High Fatality
10/21/89,7:53,"Near Tegucigalpa, Honduras",TAN,414,Managua - Tegucigalpa,Boeing B-727-224,N88705,19514/597,146,127,0,19,0.130136986,The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.,High Fatality
11/27/89,7:16,"Bogota, Colombia",AVIANCA,203,Bogota - Cali,Boeing B-727-21,HK-1803,19035/272,107,107,3,0,0,The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.,High Fatality
1/25/90,21:34,"Cove Neck, New York",AVIANCA,52,Medellin - New York City,Boeing B-707-321B,HK 2016,19276/592,158,73,0,85,0.537974684,"The aircraft was put in a series of extended holding patterns as it approached New York.The crew informed ATC they were running out of fuel but did not declare an emergency and were cleared to land. After a missed approach and during  a go-around, the plane ran out of fuel and crashed in a wooded area. The captain speaking very little English and communicating through the first officer, at no time declared an emergency. The first officer used the term 'we need priority' several times, rather than declaring an emergency. The ATC did not realize the peril of the aircraft. Failure of the crew to properly communicate the emergency situation to the ATC. Although blame was placed squarely on the crew there are several reasons why ATC should have  taken some responsibility for the accident. ATC was trying to land too many planes at once given the weather and number of missed approaches and aborted landing that were taking place. The plane was put in an extended holding pattern on three different occasions. The crew was not told of wind shear below 500 ft. which led to the aborted landing attempt. The plane was passed between three different controllers as it came out of its holding pattern to land. Each time the crew had to repeat their fuel situation.  The crew did say 'we are running out of fuel' numerous times only to be taken on a wide circling pattern after the first attempt at landing was aborted. Although the major blame was placed on the crew, in the end, the FAA paid 40% of compensations to the passenger's families.",High Fatality
2/14/90,13:03,"Near Bangalore, India",Indian Airlines,605,Bombay - Bangalore,Airbus A320-231,VT-EPN,79,146,92,0,54,0.369863014,"On final approach, the aircraft descended below the normal approach profile until it hit the ground 2,300 ft. short and 200 ft. to the right of the runway centerline. The co-pilot's (in this case check captain's) flight director was left in the Open Descent Idle Mode instead of the Vertical Speed Mode, the prescribed setting for an approach and landing.The aircraft could not maintain the correct flight path at idle power. Failure of the crew to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs.",High Fatality
5/11/90,,"Manila, Philippines",Philippine Air Lines,,Manila - Iloilo,Boeing B-737-3Y0,EI-BZG,24466,119,8,0,111,0.932773109,There was an explosion in the center fuel tank while the aircraft was being pushed back for flight. Ignition of vapors in the empty center tank probably resulted from faulty wiring. Several causes have been presumed including chafed insulation on the wiring for the center fuel tank float level switch and damaged insulation on the wiring of the nearby wing anti-ice valve.,Low Fatality
8/10/90,,"Near Shindand, Afghanistan",Military - Afghan Republican Air Force,,,Antonov AN-12,,,83,83,0,0,0,Crashed shortly after takeoff. Mechanical failure or possibly shot down.,High Fatality
9/14/90,,"Koltsovo, Russia",Aeroflot,,Volgograd - Sverdlovsk,Yakovlev YAK-42,CCCP-42351,1811379,129,4,0,125,0.968992248,"The aircraft undershot on approach and crashed 1,700m short of the runway.  It is reported that the crew, who was apparently fatigued, failed to correctly follow procedures. The accident happened at night.",Low Fatality
10/2/90,,"Near Kuwait City, Kuwait",Iraqi Airways,,,Ilyushin IL-76,,,130,130,0,0,0,The aircraft was shot down by a Kuwaiti fighter shortly after takeoff with an air-to-air missile. Mostly military personnel were onboard.,High Fatality
10/2/90,9:15,"Guangzhou, China",China Southwest Airlines / Xiamen Airlines,8301/,Guangzhou - Shanghi,Boeing B-737-247 / Boeing B-757-21B,B-2812/B-2510,24758 / 23189,226,128,0,98,0.433628319,"Shortly after taking off a hijacker entered the cockpit and demanded to be flown to Hong Kong. The captain circled for 30 minutes and after a struggle in the cockpit, attempted to land at Guangzhou, hitting the runway hard, clipping a B-707 and crashing into a B-757. Eighty-two aboard the B-737 and 46 aboard the B-757 were killed.",High Fatality
10/3/90,20:08,"Cape Canaveral, Florida",Eastern Air Lines,791,,McDonnell Douglas DC-9-31,N8923E,45838/104,97,1,0,96,0.989690722,The aircraft experienced severe turbulence after entering overhang of a thunderstorm at FL 310. Three passengers received serious injuries. One passenger died 20 days after the accident. Failure of the captain to follow procedures by allowing the aircraft to continue into the overhang anvil of a thunderstorm. Failure of the passengers to abide by instructions concerning the use of seat belts. Failure of the flight attendants to enforce the use of seat belts.,Low Fatality
